timestamp,eye_closed_prob,yawn_prob,drowsy_prob,fps
1763491175.320317,,,,0.96
1763491175.3928437,,,,13.79
1763491175.4541454,,,,16.31
1763491175.5164988,,,,16.04
1763491175.577642,,,,16.36
1763491175.6247337,,,,21.24
1763491175.6865199,,,,16.18
1763491175.718536,,,,31.23
1763491175.7820613,,,,15.74
1763491175.8447478,,,,15.95
1763491175.8917515,,,,21.27
1763491175.9543822,,,,15.97
1763491176.031839,,,,12.91
1763491176.0941901,,,,16.04
1763491176.1559618,,,,16.19
1763491176.219201,,,,15.81
1763491176.2804027,,,,16.34
1763491176.3430843,,,,15.95
1763491176.4206865,,,,12.89
1763491176.5006268,,,,12.51
1763491176.56663,,,,15.15
1763491176.627344,,,,16.47
1763491176.689968,,,,15.97
1763491176.7534096,,,,15.76
1763491176.8148568,,,,16.27
1763491176.893175,,,,12.77
1763491176.953576,,,,16.56
1763491177.0156589,,,,16.11
1763491177.0796359,,,,15.63
1763491177.1562655,,,,13.05
1763491177.2236578,,,,14.84
1763491177.2973025,,,,13.58
1763491177.3608057,,,,15.75
1763491177.4254518,,,,15.47
1763491177.483476,,,,17.23
1763491177.5577493,,,,13.46
1763491177.6077466,,,,20.00
1763491177.6402786,,,,30.74
1763491177.6863146,,,,21.72
1763491177.7338846,,,,21.02
1763491177.7954304,,,,16.25
1763491177.8601065,,,,15.46
1763491177.921784,,,,16.21
1763491177.9828987,,,,16.36
1763491178.0451553,,,,16.06
1763491178.1079206,,,,15.93
1763491178.1553192,,,,21.10
1763491178.185539,,,,33.09
1763491178.2480652,,,,15.99
1763491178.3322256,,,,11.88
1763491178.3956678,,,,15.76
1763491178.4512062,,,,18.01
1763491178.5156841,,,,15.51
1763491178.5914903,,,,13.19
1763491178.656459,,,,15.39
1763491178.720456,,,,15.63
1763491178.7790859,,,,17.06
1763491178.8419638,,,,15.90
1763491178.9060965,,,,15.59
1763491178.9829051,,,,13.02
1763491179.0611544,,,,12.78
1763491179.1231098,,,,16.14
1763491179.1857014,,,,15.98
1763491179.2488484,,,,15.84
1763491179.3101785,,,,16.31
1763491179.372278,,,,16.10
1763491179.4194207,,,,21.21
1763491179.4513302,,,,31.34
1763491179.512569,,,,16.33
1763491179.5772834,,,,15.45
1763491179.6402895,,,,15.87
1763491179.7026024,,,,16.05
1763491179.748691,,,,21.70
1763491179.811378,,,,15.95
1763491179.889211,,,,12.85
1763491179.952892,,,,15.70
1763491180.0182986,,,,15.29
1763491180.0785742,,,,16.59
1763491180.141573,,,,15.87
1763491180.2035375,,,,16.14
1763491180.2832837,,,,12.54
1763491180.3458588,,,,15.98
1763491180.408605,,,,15.94
1763491180.4701743,,,,16.24
1763491180.5473182,,,,12.96
1763491180.611699,,,,15.53
1763491180.691599,,,,12.52
1763491180.752214,,,,16.50
1763491180.8151329,,,,15.89
1763491180.8761845,,,,16.38
1763491180.9377577,,,,16.24
1763491181.0007677,,,,15.87
1763491181.0620663,,,,16.31
1763491181.1277454,,,,15.23
1763491181.1857488,,,,17.24
1763491181.249397,,,,15.71
1763491181.3114202,,,,16.12
1763491181.3748891,,,,15.76
1763491181.4365375,,,,16.22
1763491181.5012634,,,,15.45
1763491181.548767,,,,21.05
1763491181.6106038,,,,16.17
1763491181.6410162,,,,32.88
1763491181.718132,,,,12.97
1763491181.7827802,,,,15.47
1763491181.843908,,,,16.36
1763491181.90704,,,,15.84
1763491181.9680068,,,,16.40
1763491182.0162652,,,,20.72
1763491182.0783856,,,,16.10
1763491182.1400702,,,,16.21
1763491182.2104495,,,,14.21
1763491183.29451,0.3728,0.0095,0.3184,0.92
1763491183.3455122,0.3728,0.0095,0.3184,19.61
1763491183.4046693,0.3728,0.0095,0.3184,16.90
1763491183.464712,0.3728,0.0095,0.3184,16.65
1763491183.5276637,0.3728,0.0095,0.3184,15.89
1763491183.5902154,0.3728,0.0095,0.3184,15.99
1763491183.6683874,0.3728,0.0095,0.3184,12.79
1763491183.7163038,0.3728,0.0095,0.3184,20.87
1763491183.7840073,0.3728,0.0095,0.3184,14.77
1763491183.8406582,0.3728,0.0095,0.3184,17.65
1763491183.9051952,0.3728,0.0095,0.3184,15.49
1763491183.966762,0.3728,0.0095,0.3184,16.24
1763491184.0037644,0.3728,0.0095,0.3184,27.03
1763491184.0497162,0.3728,0.0095,0.3184,21.76
1763491184.0662403,0.3728,0.0095,0.3184,60.52
1763491184.092242,0.3728,0.0095,0.3184,38.46
1763491184.1142383,0.3728,0.0095,0.3184,45.46
1763491184.1452382,0.3728,0.0095,0.3184,32.26
1763491184.187792,0.3728,0.0095,0.3184,23.50
1763491184.2188756,0.3728,0.0095,0.3184,32.17
1763491184.2500846,0.3728,0.0095,0.3184,32.04
1763491184.2838914,0.3728,0.0095,0.3184,29.58
1763491184.3158536,0.3728,0.0095,0.3184,31.29
1763491184.3500028,0.3728,0.0095,0.3184,29.28
1763491184.3803146,0.3728,0.0095,0.3184,32.99
1763491184.4130712,0.3728,0.0095,0.3184,30.53
1763491184.4450705,0.3728,0.0095,0.3184,31.25
1763491184.4932444,0.3728,0.0095,0.3184,20.76
1763491184.525238,0.3728,0.0095,0.3184,31.26
1763491184.5402725,0.3728,0.0095,0.3184,66.51
1763491184.5877478,0.3728,0.0095,0.3184,21.06
1763491184.6197543,0.3728,0.0095,0.3184,31.24
1763491184.6517897,0.3728,0.0095,0.3184,31.22
1763491184.6848562,0.3728,0.0095,0.3184,30.24
1763491184.7148533,0.3728,0.0095,0.3184,33.34
1763491184.747854,0.3728,0.0095,0.3184,30.30
1763491184.781413,0.3728,0.0095,0.3184,29.80
1763491184.8114018,0.3728,0.0095,0.3184,33.35
1763491184.8444002,0.3728,0.0095,0.3184,30.30
