timestamp,frame_idx,eye_prob_closed,yawn_prob,drowsy_prob
1763769374.078,1,0.6943,0.0000,0.2896
1763769374.159,2,0.6943,0.0000,0.2896
1763769374.271,3,0.6413,0.0000,0.2468
1763769374.293,4,0.6413,0.0000,0.2468
1763769374.404,5,0.6599,0.0000,0.2530
1763769374.425,6,0.6599,0.0000,0.2530
1763769374.533,7,0.6646,0.0000,0.2611
1763769374.555,8,0.6646,0.0000,0.2611
1763769374.645,9,0.6794,0.0000,0.2845
1763769374.665,10,0.6794,0.0000,0.2845
1763769374.762,11,0.6866,0.0017,0.2729
1763769374.782,12,0.6866,0.0017,0.2729
1763769374.862,13,0.7271,0.0450,0.3116
1763769374.898,14,0.7271,0.0450,0.3116
1763769375.034,15,0.6930,0.1468,0.3560
1763769375.054,16,0.6930,0.1468,0.3560
1763769375.152,17,0.6810,0.1445,0.3631
1763769375.181,18,0.6810,0.1445,0.3631
1763769375.273,19,0.6488,0.0000,0.2551
1763769375.293,20,0.6488,0.0000,0.2551
1763769375.391,21,0.6358,0.1957,0.3996
1763769375.419,22,0.6358,0.1957,0.3996
1763769375.515,23,0.6165,0.2742,0.4682
1763769375.547,24,0.6165,0.2742,0.4682
1763769375.637,25,0.6552,0.1998,0.4627
1763769375.674,26,0.6552,0.1998,0.4627
1763769375.792,27,0.6547,0.8852,0.8615
1763769375.809,28,0.6547,0.8852,0.8615
1763769375.892,29,0.6391,1.0000,0.9131
1763769375.925,30,0.6391,1.0000,0.9131
1763769376.023,31,0.6354,1.0000,0.8994
1763769376.052,32,0.6354,1.0000,0.8994
1763769376.145,33,0.6599,1.0000,0.9080
1763769376.178,34,0.6599,1.0000,0.9080
1763769376.316,35,0.6408,1.0000,0.8613
1763769376.350,36,0.6408,1.0000,0.8613
1763769376.427,37,0.6195,1.0000,0.8416
1763769376.465,38,0.6195,1.0000,0.8416
1763769376.566,39,0.6290,1.0000,0.8483
1763769376.589,40,0.6290,1.0000,0.8483
1763769376.682,41,0.6262,1.0000,0.8288
1763769376.714,42,0.6262,1.0000,0.8288
1763769376.799,43,0.5713,1.0000,0.7684
1763769376.825,44,0.5713,1.0000,0.7684
1763769376.929,45,0.5583,1.0000,0.7628
1763769376.951,46,0.5583,1.0000,0.7628
1763769377.036,47,0.5663,1.0000,0.7537
1763769377.062,48,0.5663,1.0000,0.7537
1763769377.151,49,0.5763,1.0000,0.7519
1763769377.187,50,0.5763,1.0000,0.7519
1763769377.280,51,0.5728,1.0000,0.7403
1763769377.313,52,0.5728,1.0000,0.7403
1763769377.419,53,0.5663,0.7870,0.6302
1763769377.454,54,0.5663,0.7870,0.6302
1763769377.554,55,0.5563,0.0518,0.2195
1763769377.581,56,0.5563,0.0518,0.2195
1763769377.670,57,0.5555,0.0000,0.1973
1763769377.690,58,0.5555,0.0000,0.1973
1763769377.822,59,0.5764,0.0000,0.2177
1763769377.842,60,0.5764,0.0000,0.2177
1763769377.928,61,0.5975,0.0000,0.2327
1763769377.957,62,0.5975,0.0000,0.2327
1763769378.057,63,0.6316,0.0000,0.2267
1763769378.079,64,0.6316,0.0000,0.2267
1763769378.155,65,0.6802,0.0000,0.2160
1763769378.179,66,0.6802,0.0000,0.2160
1763769378.275,67,0.7081,0.0000,0.2173
1763769378.304,68,0.7081,0.0000,0.2173
1763769378.395,69,0.7301,0.0000,0.2079
1763769378.414,70,0.7301,0.0000,0.2079
1763769378.503,71,0.7517,0.0000,0.2419
1763769378.526,72,0.7517,0.0000,0.2419
1763769378.619,73,0.7806,0.0000,0.2681
1763769378.655,74,0.7806,0.0000,0.2681
1763769378.767,75,0.7582,0.0000,0.2598
1763769378.793,76,0.7582,0.0000,0.2598
1763769378.900,77,0.7352,0.0000,0.2605
1763769378.922,78,0.7352,0.0000,0.2605
1763769379.024,79,0.6968,0.0000,0.2368
1763769379.048,80,0.6968,0.0000,0.2368
1763769379.160,81,0.6378,0.0000,0.1913
1763769379.190,82,0.6378,0.0000,0.1913
1763769379.275,83,0.5953,0.0000,0.1913
1763769379.302,84,0.5953,0.0000,0.1913
1763769379.401,85,0.5965,0.6405,0.5889
1763769379.430,86,0.5965,0.6405,0.5889
1763769379.560,87,0.6001,1.0000,0.8048
1763769379.586,88,0.6001,1.0000,0.8048
1763769379.680,89,0.5990,1.0000,0.8266
1763769379.715,90,0.5990,1.0000,0.8266
1763769379.807,91,0.6103,1.0000,0.8431
1763769379.840,92,0.6103,1.0000,0.8431
1763769379.927,93,0.6180,1.0000,0.8130
1763769379.948,94,0.6180,1.0000,0.8130
1763769380.036,95,0.6350,1.0000,0.8066
1763769380.071,96,0.6350,1.0000,0.8066
1763769380.163,97,0.6541,1.0000,0.8265
1763769380.197,98,0.6541,1.0000,0.8265
1763769380.291,99,0.6525,1.0000,0.8191
1763769380.323,100,0.6525,1.0000,0.8191
1763769380.416,101,0.6466,1.0000,0.7965
1763769380.449,102,0.6466,1.0000,0.7965
1763769380.571,103,0.6271,1.0000,0.7840
1763769380.592,104,0.6271,1.0000,0.7840
1763769380.683,105,0.6193,1.0000,0.7825
1763769380.717,106,0.6193,1.0000,0.7825
1763769380.809,107,0.6014,1.0000,0.7747
1763769380.845,108,0.6014,1.0000,0.7747
1763769380.952,109,0.5971,1.0000,0.7887
1763769380.986,110,0.5971,1.0000,0.7887
1763769381.089,111,0.6147,1.0000,0.8370
1763769381.112,112,0.6147,1.0000,0.8370
1763769381.199,113,0.6518,1.0000,0.9082
1763769381.220,114,0.6518,1.0000,0.9082
1763769381.325,115,0.6479,1.0000,0.9508
1763769381.345,116,0.6479,1.0000,0.9508
1763769381.453,117,0.6779,1.0000,0.9477
1763769381.474,118,0.6779,1.0000,0.9477
1763769381.584,119,0.6993,1.0000,0.9264
1763769381.604,120,0.6993,1.0000,0.9264
1763769381.683,121,0.7405,1.0000,0.9106
1763769381.711,122,0.7405,1.0000,0.9106
1763769381.832,123,0.7709,1.0000,0.9148
