path,label,mar
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f0_no_yawn.jpg,no_yawn,0.0443
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f10_no_yawn.jpg,no_yawn,0.0432
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f20_no_yawn.jpg,no_yawn,0.0451
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f30_no_yawn.jpg,no_yawn,0.0316
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f40_no_yawn.jpg,no_yawn,0.0557
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f50_no_yawn.jpg,no_yawn,0.053
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f60_no_yawn.jpg,no_yawn,0.0572
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f70_no_yawn.jpg,no_yawn,0.0526
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f80_no_yawn.jpg,no_yawn,0.0672
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f90_no_yawn.jpg,no_yawn,0.0344
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f100_no_yawn.jpg,no_yawn,0.04
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f110_no_yawn.jpg,no_yawn,0.0266
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f120_no_yawn.jpg,no_yawn,0.0308
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f130_no_yawn.jpg,no_yawn,0.0556
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f140_no_yawn.jpg,no_yawn,0.0921
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f150_no_yawn.jpg,no_yawn,0.0928
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f160_no_yawn.jpg,no_yawn,0.088
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f170_no_yawn.jpg,no_yawn,0.1046
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f180_no_yawn.jpg,no_yawn,0.0577
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f190_no_yawn.jpg,no_yawn,0.0586
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f200_no_yawn.jpg,no_yawn,0.0458
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f210_no_yawn.jpg,no_yawn,0.0628
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f220_no_yawn.jpg,no_yawn,0.0686
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f230_no_yawn.jpg,no_yawn,0.1008
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f240_no_yawn.jpg,no_yawn,0.0654
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f250_no_yawn.jpg,no_yawn,0.0861
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f260_no_yawn.jpg,no_yawn,0.0819
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f270_no_yawn.jpg,no_yawn,0.0839
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f280_no_yawn.jpg,no_yawn,0.1195
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f290_no_yawn.jpg,no_yawn,0.0747
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f300_no_yawn.jpg,no_yawn,0.0766
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f310_no_yawn.jpg,no_yawn,0.0734
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f320_no_yawn.jpg,no_yawn,0.0525
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f330_no_yawn.jpg,no_yawn,0.048
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f340_no_yawn.jpg,no_yawn,0.0507
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f350_no_yawn.jpg,no_yawn,0.0574
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f360_no_yawn.jpg,no_yawn,0.0618
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f370_no_yawn.jpg,no_yawn,0.0595
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f380_no_yawn.jpg,no_yawn,0.0616
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f390_no_yawn.jpg,no_yawn,0.0781
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f400_no_yawn.jpg,no_yawn,0.0709
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f410_no_yawn.jpg,no_yawn,0.0672
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f420_no_yawn.jpg,no_yawn,0.0908
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f430_no_yawn.jpg,no_yawn,0.0861
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f440_no_yawn.jpg,no_yawn,0.0998
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f450_no_yawn.jpg,no_yawn,0.0723
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f460_no_yawn.jpg,no_yawn,0.0453
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f470_no_yawn.jpg,no_yawn,0.0353
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f480_no_yawn.jpg,no_yawn,0.0407
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f490_no_yawn.jpg,no_yawn,0.0462
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f500_no_yawn.jpg,no_yawn,0.0612
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f510_no_yawn.jpg,no_yawn,0.0551
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f520_no_yawn.jpg,no_yawn,0.0405
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f530_no_yawn.jpg,no_yawn,0.0419
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f540_no_yawn.jpg,no_yawn,0.0452
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f550_no_yawn.jpg,no_yawn,0.044
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f560_no_yawn.jpg,no_yawn,0.0784
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f570_no_yawn.jpg,no_yawn,0.0831
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f580_no_yawn.jpg,no_yawn,0.0771
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f590_no_yawn.jpg,no_yawn,0.0739
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f600_no_yawn.jpg,no_yawn,0.0817
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f610_no_yawn.jpg,no_yawn,0.0749
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f620_no_yawn.jpg,no_yawn,0.0579
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f630_no_yawn.jpg,no_yawn,0.0577
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f640_no_yawn.jpg,no_yawn,0.0353
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f650_no_yawn.jpg,no_yawn,0.0813
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f660_no_yawn.jpg,no_yawn,0.0745
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f670_no_yawn.jpg,no_yawn,0.0567
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f680_no_yawn.jpg,no_yawn,0.0613
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f690_no_yawn.jpg,no_yawn,0.0613
data/yawdd_frames/raw\no_yawn\10-FemaleNoGlasses.avi_f700_no_yawn.jpg,no_yawn,0.0634
